ner,label,count
22.6,CARDINAL,1
at least a dollar,MONEY,1
about $2.29,MONEY,1
about $2.60,MONEY,1
coupon).Tasty,CARDINAL,1
wednesday,DATE,1
monday morning,TIME,1
a thousand,CARDINAL,1
Fruitloops,PERSON,1
the last couple weeks,DATE,1
Purina DM Diebetic,PERSON,1
ALL Natural,ORG,1
every six months,DATE,1
only about $3.00,MONEY,1
Shelties,LOC,1
SOUR,ORG,1
D&D. Black,ORG,1
Folgers Classic,ORG,1
only $6,MONEY,1
Trung Nguyen Gourmet Blend,PERSON,1
the two years,DATE,1
Petitecuisine.com,ORG,1
Ill,ORG,1
du Monde,ORG,1
Cafe du Monde,FAC,1
only $6.86,MONEY,1
Crystal Hot Sauce,PERSON,1
Chunky Beef Soup,ORG,1
V8,CARDINAL,1
Colleen Barrett,PERSON,1
about 40 or 50 miles,QUANTITY,1
Eagle Pack,ORG,1
Love Folgers,ORG,1
44.39,MONEY,1
the East West,LOC,1
$8 not $30,MONEY,1
MOVIE THEATER POPCORN @ HOME,ORG,1
Movie Theater Popcorn,ORG,1
"Rip Off, Gross",PERSON,1
2.08,MONEY,1
66 ounces,QUANTITY,1
Chipotle Tabasco,ORG,1
Only 30 mg,TIME,1
Tabasco,PERSON,1
200 plus mg,QUANTITY,1
Tabasco,ORG,1
Tabascos,ORG,1
$5,MONEY,1
19.49,MONEY,1
this one gallon jug,QUANTITY,1
Chipotle mexican,NORP,1
64,MONEY,1
as many 5,CARDINAL,1
Kiwi,FAC,1
8.3 fluid ounce,QUANTITY,1
Insofar,ORG,1
Castor & Pollux's,ORG,1
Kiwi & Berry,ORG,1
Kiwi Berry.,PERSON,1
PONCHO,ORG,1
Kitty Yum Yum :0,PERSON,1
By Nature,ORG,1
"The Switch Apple, Grape, Kiwi & Berry",WORK_OF_ART,1
5-6 ounce,QUANTITY,1
nearly a dollar,MONEY,1
Pellegrino,NORP,1
me.ingredients:,ORG,1
5.5 to 6.5 oz,QUANTITY,1
About.com,ORG,1
Perrier,PRODUCT,1
about $2/oz.,MONEY,1
"Natural Balance, AvoDern",ORG,1
only 12 6.5,CARDINAL,1
"Friskies, Iiams, Science Diet",ORG,1
PLUS,ORG,1
the Cinnamon Burst Cheerio's,ORG,1
fluid,ORG,1
acis,PERSON,1
LOTR,ORG,1
Wife & I,ORG,1
December 2008,DATE,1
about 50 percent,PERCENT,1
Flavocol,ORG,1
Berry,PERSON,1
two cats morning,TIME,1
nom nom nom,WORK_OF_ART,1
"soda water, &",ORG,1
Great Taste & All Natural,ORG,1
Morgan,PERSON,1
Emmie,PERSON,1
Rosie,PERSON,1
the Petite Cuisine Seafood,ORG,1
the Petite Cuisine Seafood Variety Cat Food,ORG,1
the Petite Cuisine Seafood Variety,ORG,1
Paragon Butter Flavored Seasoning Salt,ORG,1
Chimes,ORG,1
Kiwi Berry Switch,PERSON,1
Less than one dollar,MONEY,1
NUT,ORG,1
Timmy,PERSON,1
the Chicken Pot Pie & dig in!I,ORG,1
cat food & this,ORG,1
poofy,GPE,1
sweeter than 100%,PERCENT,1
half in the morning and half in the evening,TIME,1
four and half,CARDINAL,1
Janie Marie Appleseed,PERSON,1
kiwi & strawberry,ORG,1
the Puerto Rican Cherry,PERSON,1
The Switch through the Amazon,WORK_OF_ART,1
an additional $1.00,MONEY,1
Kiwi Strawberry,PERSON,1
Brendan,PERSON,1
more than 100,CARDINAL,1
Trixie the Wondercat,ORG,1
Coke/Pepsi,ORG,1
strawberry poprocks,PERSON,1
LJ,ORG,1
strawberry kiwi,PERSON,1
Mmm Good :),PERSON,1
High Fructose Corn Syrup,PERSON,1
Savers,PRODUCT,1
Strawberry Fanta,PERSON,1
Full House,WORK_OF_ART,1
about a 1/4,CARDINAL,1
Now a days,DATE,1
245,CARDINAL,1
8.3 fluid,QUANTITY,1
calories;however,CARDINAL,1
15 year,DATE,1
Phillip,ORG,1
u.s.,GPE,1
Fruiy Carbonated Drink,PERSON,1
the texture & smell,ORG,1
Acerola,DATE,1
Berry,GPE,1
MMMEEEEEEOOOOWWWW,ORG,1
The Switch Kiwi-Berry,WORK_OF_ART,1
8.3 fl,QUANTITY,1
SEPERATE,ORG,1
Snapper,PERSON,1
Kiwi,PRODUCT,1
Libey,PERSON,1
Whiskers,PERSON,1
Strawberry Kiwi,PERSON,1
Crush Orange,PERSON,1
seventeen years old,DATE,1
Black Cherry,GPE,1
whiner,PERSON,1
cans!Petite,NORP,1
Professional Cat Wrestling,PRODUCT,1
Petite Cuisane,ORG,1
Yellowfin,PERSON,1
34g,QUANTITY,1
about 28 grams,QUANTITY,1
the Wholesome Goodness,FAC,1
Cuisine Variety,PERSON,1
Kiwi,EVENT,1
here!However,GPE,1
"Snapper, Tuna & Sole, & Tuna & Shrimp",ORG,1
Fizzy Deliciousness,PERSON,1
~50%,PERCENT,1
Juicy Juice,PERSON,1
Hanson,PERSON,1
Kiwi Berry,PRODUCT,1
Creative,ORG,1
Pluto,PERSON,1
Sept. 30th,DATE,1
The Pot Pie,PERSON,1
a couple of short weeks,TIME,1
"The Cat"" - This Stuff",WORK_OF_ART,1
the Green Mountain Coffee Breakfast Blend,FAC,1
my other 1/2,CARDINAL,1
Zede,PERSON,1
Ex,ORG,1
6 oz cup,QUANTITY,1
Zede,GPE,1
almost weekly,DATE,1
Smiley Box - the,PERSON,1
Nigel,PERSON,1
6am,TIME,1
13 dollars,MONEY,1
Petite Cuisine Chicken Pot Pie,ORG,1
Like 3 and a Half,DATE,1
1 year to 16 years,DATE,1
The sixteen year old,DATE,1
Purina One Salmon & Tuna,ORG,1
B70,PERSON,1
Purina One Chicken & Rice,ORG,1
16 pounds,QUANTITY,1
the Sesame Chicken Entr&eacute;e,ORG,1
the Whirly Popper,ORG,1
three weensy ounces,QUANTITY,1
Tut,PERSON,1
Good Cat Food,PERSON,1
Joe McBu's,PERSON,1
Marissa,PERSON,1
only about half,CARDINAL,1
Gold Medal,WORK_OF_ART,1
KLUTE,ORG,1
Jane,PERSON,1
Jane Fonda,PERSON,1
Mojosmom,PERSON,1
Sesame Chicken,WORK_OF_ART,1
The Pot Pie,WORK_OF_ART,1
Lilith,PERSON,1
Lilith,ORG,1
Great Northern PopCorn,LOC,1
163.6 mg/100,DATE,1
Greath Nothern,PERSON,1
Fred,NORP,1
BE CAREFUL,ORG,1
Angel,ORG,1
Paul Neuman's,PERSON,1
The Pot Pie,ORG,1
over 50 dollars,MONEY,1
The next evening,TIME,1
The first day,DATE,1
entr&eacute;es,ORG,1
People Food,WORK_OF_ART,1
Cat Crack,WORK_OF_ART,1
'Our Blend',WORK_OF_ART,1
Sesame Chicken,ORG,1
30-40,CARDINAL,1
Torani Hazelnut,ORG,1
vendor,GPE,1
Green Mountain Coffee Keurig,GPE,1
The Classic Caramel,ORG,1
Chuck Simmons,PERSON,1
less than 2,CARDINAL,1
Black Friday,EVENT,1
about $6.00,MONEY,1
Torani Chocolate,ORG,1
Creme,LOC,1
Classic Caramel,PRODUCT,1
The Torani Chocolate,ORG,1
Chocolate,FAC,1
LOVE GREEN MOUNTAIN,PERSON,1
the Torani Vanilla,ORG,1
25.4 ounces,QUANTITY,1
Green Mountain Breakfast Blend,PERSON,1
over $,MONEY,1
hazelnut,PERSON,1
April 12,DATE,1
Almond,ORG,1
Sugar Free Torani,ORG,1
Green Mountain Nantucket Blend,WORK_OF_ART,1
Green Mountain Breakfast Blend K-cups,ORG,1
Barista,GPE,1
About a month ago,DATE,1
MnM,ORG,1
Nostalgia retro,PERSON,1
Florentine,PRODUCT,1
Sesame Chicken,PERSON,1
Cee Cee's,ORG,1
Kohls,PRODUCT,1
Super Easy,PERSON,1
BEAUTIFUL,ORG,1
only about 10 dollars,MONEY,1
Chicken Pot Pie,ORG,1
Petite Cuisine DID,ORG,1
about 57 cents per cup,MONEY,1
Dec 18 2008,DATE,1
Fancy Feasts,ORG,1
the other two days,DATE,1
DAMAGED & WRONG PRODUCT,ORG,1
1 yellowfin,QUANTITY,1
product!Overall,PERSON,1
The Sesame Chicken,ORG,1
Chicken Pot Pie,WORK_OF_ART,1
Oriental Trading,WORK_OF_ART,1
the Coffee People's Organic,ORG,1
the Coffee People Organic,ORG,1
MIS-SHAPED,PERSON,1
healthy salt,PERSON,1
Length,PERSON,1
The product description &,ORG,1
Midnight Express,PERSON,1
Orville Air,ORG,1
little over $17,MONEY,1
TROPICAL DRIED FRUIT,PERSON,1
two-thirds,CARDINAL,1
convenient?Thanks Amazon,PERSON,1
Parmesan & basil,ORG,1
Petite Cuisine Snapper,ORG,1
Pat Morrow,PERSON,1
Orbits,ORG,1
Amazon Rocks,PERSON,1
Cookie Goodness,PERSON,1
eight pounds,QUANTITY,1
Coconut Cremes,PERSON,1
HOSTESSGIFT,GPE,1
LION COFFEE,ORG,1
zero grams,QUANTITY,1
Mango + Chili,ORG,1
11.88,MONEY,1
33.9 oz,MONEY,1
50 Ct,QUANTITY,1
Many Old Maids,PRODUCT,1
Green Mountain & kcups,ORG,1
Green Mountain Coffees,LOC,1
Third World,ORG,1
Green Mountian,PERSON,1
the Breakfast Blend K-Cup,ORG,1
Manuka,PERSON,1
Sundried Tomato & Basil,ORG,1
Abit Stale,PERSON,1
Christine Gresock,PERSON,1
Revoluton Ginger Peach Tea,ORG,1
the Classic Roast,FAC,1
5-$7,MONEY,1
13 1/2 years old,DATE,1
8 or so little bits,CARDINAL,1
Coon,PERSON,1
Granola,ORG,1
about 28lbs,CARDINAL,1
over 60,CARDINAL,1
Ounce,ORG,1
PF Changes,ORG,1
Great Service and Convenience,ORG,1
50 mile,QUANTITY,1
thyroid,ORDINAL,1
Ginger Peach Tea,ORG,1
Maine Coon,PERSON,1
the White Pear,ORG,1
Joke,PERSON,1
Peach Tea,PERSON,1
White Pear,ORG,1
Acai Green,PERSON,1
Orange Green,ORG,1
Sweet Ginger Peach,PERSON,1
zesty tomato kick,PERSON,1
the rage these days,DATE,1
only three ounces,QUANTITY,1
just over a year old,DATE,1
12 years or more,DATE,1
Menadione,ORG,1
appetizer!Petite Cuisine,ORG,1
product!Given,PERSON,1
about three weeks ago,DATE,1
minutes!!!!Our,NORP,1
about 5 days,DATE,1
4.5 years ago,DATE,1
Siamese,NORP,1
Healthy Feline,PERSON,1
the Green Mountain Breakfast,FAC,1
Vitamin K,PERSON,1
Petite Cuisine Chinese Chicken,ORG,1
"PetPlay, Inc.",ORG,1
Apri,LOC,1
Menadione Sodium Bisulfite,LOC,1
the Great Northern Little Bambino,FAC,1
inthe morning,TIME,1
1 & 1/2,DATE,1
the Capehart-Stephenson Kitties,ORG,1
food!!!,PERSON,1
"the K-Cup""",FAC,1
Labeling,PERSON,1
Bengal,PERSON,1
"the ""Before Grain"" foods",ORG,1
acre,PERSON,1
West Coast,LOC,1
February 8,DATE,1
This Breakfast Blend,ORG,1
around $20.00,MONEY,1
Green Moutain,GPE,1
cat LOVES Petite Cuisine,ORG,1
the Himalayan mountains,LOC,1
3 months in a row,DATE,1
about 8-9 bucks,CARDINAL,1
luv,ORG,1
this as my morning,TIME,1
the Breakfast Blend Coffee,ORG,1
Brenda Spurlin,PERSON,1
juicey,PERSON,1
Grocer,PERSON,1
Green Mountain k-cup Breakfast,LOC,1
Great Taste Great Value,EVENT,1
Good Blend,PERSON,1
LOTS of K-cups,PRODUCT,1
Green Mountain Breakfast Blend,FAC,1
Black Tiger,PRODUCT,1
at least 1 cup,QUANTITY,1
columbia,ORG,1
Keurig Green Mtn,PERSON,1
a coupld days,DATE,1
Typical Breakfast Blend,ORG,1
the Light Side of Medium Blend Coffees,LAW,1
the Tully House Blend,ORG,1
almost 12 month olds,DATE,1
14 week,DATE,1
nice & healthy,ORG,1
Mz Sparkle,PERSON,1
25 to 30 percent,PERCENT,1
Raider,PERSON,1
five months,DATE,1
Day One,DATE,1
Mommy,WORK_OF_ART,1
Ozzy,PERSON,1
the Great Northern product,EVENT,1
chihuahua/doxie,ORG,1
two or three weeks,DATE,1
about twenty minutes,TIME,1
The Hip Action,ORG,1
8 lb and 9,QUANTITY,1
Foods,ORG,1
20-40%,PERCENT,1
Bigelow Teas,PERSON,1
Broccoli,GPE,1
about 100 pounds,QUANTITY,1
Only about half,CARDINAL,1
nodda,ORG,1
Glucosomine,PERSON,1
Vallarta,GPE,1
Husky-Great Pyrenese,FAC,1
these Tic Tacs,PERSON,1
Jiffy Pop,PERSON,1
Bucky,PERSON,1
45 minute,TIME,1
Rott/Boarder Collie,ORG,1
SUGAR,LAW,1
the age of 12,DATE,1
ans,NORP,1
one 8,DATE,1
Murchie's,ORG,1
Agava,NORP,1
The Assam of London,PERSON,1
half an half,CARDINAL,1
AKA,ORG,1
a .5 gallon,QUANTITY,1
Great Northern,GPE,1
erythritol,ORG,1
this a zero,CARDINAL,1
Hindenburg,GPE,1
Elite Popcorn,ORG,1
dog,ORG,1
Healthy Partner,PERSON,1
Nupro All Natural Dog Suppplement,ORG,1
Echo,PERSON,1
Glucosamine & Chondrotin,ORG,1
7lbs,CARDINAL,1
Just a few seconds,TIME,1
the Dog & Cat Cancer Fund,ORG,1
Golden Aloe,WORK_OF_ART,1
Lemon Lift,PERSON,1
Cinnamon Tea,PERSON,1
Emerald Forest's,ORG,1
Erythritol,WORK_OF_ART,1
Digby,ORG,1
Bichon Zuke's,PERSON,1
yelps,GPE,1
new city,GPE,1
Red Pepper,ORG,1
Sparkle,PERSON,1
the Big Train Iced Coffee,ORG,1
Gloria Jeans Mocha,PERSON,1
5yr,ORDINAL,1
the Hip Action,FAC,1
July 2011,DATE,1
kettle,GPE,1
Hip Action Peanut Butter Treats,ORG,1
apple brands,ORG,1
Chihuahuas,PERSON,1
This Celtic Sea Salt,LOC,1
Go Vitamin,PERSON,1
my 16 year,DATE,1
NetGrocers,ORG,1
Arthritis,PERSON,1
more than 2 months,DATE,1
Bengal Spice,PERSON,1
sep 2010,DATE,1
Lara,LOC,1
Pepperidge Farm Bordeaux,ORG,1
1/10th of a penny,MONEY,1
the past 3 years or so,DATE,1
Corgi,GPE,1
Decaf Treat,PERSON,1
Woodman,ORG,1
standard poodle,PERSON,1
12 yr old cat,QUANTITY,1
Tamicon Tamarind,ORG,1
just under $40,MONEY,1
Cool Capp Mocha,PERSON,1
Healthy Treats,PERSON,1
Yummy Treats,ORG,1
Piper,PERSON,1
Hip Hip Hooray,PERSON,1
Tenessee Red Lightnin',ORG,1
Great Norther,ORG,1
Sasha,PERSON,1
Red Lightning,PERSON,1
Judy Watson,PERSON,1
Great Northern Foundation,ORG,1
the Stir Crazy,FAC,1
stairs,ORG,1
5 mornings,TIME,1
Tenessee Red Lightning,WORK_OF_ART,1
help(he,FAC,1
Rodan,PERSON,1
the Christmas holiday season,DATE,1
bunny hops,PERSON,1
Hip Action Treats,ORG,1
Cool Capp Double Mocha Iced,ORG,1
3rd party,ORG,1
12.21,CARDINAL,1
an 8 year old,DATE,1
Linens and Things,WORK_OF_ART,1
our 10 year old LAB,DATE,1
50 mg,QUANTITY,1
Hip Action PB & Yum,ORG,1
Boppy,ORG,1
Toni,PERSON,1
xylitol,GPE,1
Subscribe,WORK_OF_ART,1
Ceylon,GPE,1
mac n cheese jars,ORG,1
4-6 month olds,DATE,1
FedEx Smart Post,ORG,1
FedEx Smartpost,PERSON,1
Haribo gummy,FAC,1
StupidPost,ORG,1
"Paul J. Carlson ""Dilettante"" received",PERSON,1
Gerber Organic Green Beans,PRODUCT,1
Gerber Organic Mac n Cheese,ORG,1
SmartNourish,ORG,1
Babe,PERSON,1
just about 3 minutes,TIME,1
Vegetables/Grains,ORG,1
1x,CARDINAL,1
good!Added,ORG,1
NEXT DAY,DATE,1
Haribo Gummi Frogs,PERSON,1
vegaterian,NORP,1
FIRST Robotics,ORG,1
One evening,TIME,1
wayyy,PERSON,1
the Haribo Gummi Frogs,ORG,1
132 pound,QUANTITY,1
Haribo,PERSON,1
Shiloh Shepherd,PERSON,1
Premium Edge Lamb,WORK_OF_ART,1
The Shiloh Shepherd,ORG,1
1/,MONEY,1
2pack,CARDINAL,1
i.e hydrolized protien,PERSON,1
fall/winter,DATE,1
Flavor Enhancer,ORG,1
Minis,ORG,1
Bags,PERSON,1
Disfigured Capsule,PERSON,1
BF,ORG,1
Dry-Ice Packs,ORG,1
Haribo Gummy,LOC,1
Three 126,CARDINAL,1
spain,GPE,1
kit kat,PERSON,1
kit kat candy,PERSON,1
some this year,DATE,1
a kit kat,PERSON,1
Goldsboro,GPE,1
Gummy Frog ADDICT,ORG,1
17,DATE,1
21,DATE,1
Great For College Students - Highly,ORG,1
Best Gummy Value EVER,LOC,1
Whirley,PERSON,1
Dia-Beet,PRODUCT,1
Jus kidden,PERSON,1
Whirl,ORG,1
3/10/11,CARDINAL,1
a Kit Kat,PERSON,1
around 10 seconds,TIME,1
Pinnacle Trout,ORG,1
the Pinnacle Trout & Sweet Potato,ORG,1
Pinnacle Trout & Sweet Potato,ORG,1
2pound,CARDINAL,1
Great Value,GPE,1
SOOOO GOOD,ORG,1
Trudi,NORP,1
Cardamom,PERSON,1
Arrowhead Mills',ORG,1
Boys and Girls club party,ORG,1
Coconut Cardamom,PERSON,1
Jem,PERSON,1
Cinnamon Maca,ORG,1
apricot delights,PERSON,1
sweetleaf vanilla creme,GPE,1
as half to three-quarter,CARDINAL,1
Drysdale,PERSON,1
12 oz pkg,QUANTITY,1
erythritol/stevia,ORG,1
TruVia,ORG,1
RETURN,PRODUCT,1
Scotsman,ORG,1
Malawi,GPE,1
English Breakfast,NORP,1
NON-GMO,ORG,1
Sugar CRUSHES Erythritol,PERSON,1
NAH,ORG,1
the Teeli Brew Basket,PRODUCT,1
Tea Filter,PERSON,1
Ricos,ORG,1
about another 3,CARDINAL,1
up to $4.00,MONEY,1
A couple years,DATE,1
New Year's,EVENT,1
4 1/2 days,DATE,1
Columbus,FAC,1
the Pinnacle Trout and Sweet Potato,ORG,1
Pinnacle Dog Food,ORG,1
the Gold BEars,LAW,1
Tues,ORG,1
Pinnacle Trout & Sweet,ORG,1
favorites!As,CARDINAL,1
the coming winter,DATE,1
Del Monte,PERSON,1
these Lindor Truffles,FAC,1
Haribo candy,FAC,1
Gummy Frog,PERSON,1
Some years later,DATE,1
Gummibaerchen,PERSON,1
Kinder,PERSON,1
Erwachsene,NORP,1
Gummibaerchen,GPE,1
2.5,DATE,1
Tasty Brownies,ORG,1
the SAME DAY,DATE,1
about three months ago,DATE,1
Starbuck,PERSON,1
nearly 30 years,DATE,1
UC Berkeley,ORG,1
Authentic Foods,ORG,1
raspberry bits,PERSON,1
Fancy Vanilla Tea,PERSON,1
7am,TIME,1
SUPPOSED,ORG,1
the Yogi Rejuvenation,ORG,1
Lester,PERSON,1
Popcorn Machine,ORG,1
the Lady Earl Grey,PERSON,1
Kirkwall,GPE,1
Orkney,GPE,1
Lady Earl Grey,PERSON,1
Wabash Valley Farms Real Theater Popcorn.-,ORG,1
British Breakfast,LOC,1
at least a cup,CARDINAL,1
Mandarin Green Tea,PERSON,1
ten foot,QUANTITY,1
DEFINITELT,ORG,1
Earl,PERSON,1
the following days,DATE,1
lovers!I,PERSON,1
Tetley/Liptons,ORG,1
earl,GPE,1
mgo,ORG,1
3-4 cups,QUANTITY,1
Stroopwafel,ORG,1
STEAL.Get Twinings,ORG,1
36 8,DATE,1
17.14,MONEY,1
Lady Gray,PERSON,1
the Lady Grey,PERSON,1
a few short seconds,TIME,1
Psuedoscientific,ORG,1
the wildest nights,TIME,1
the entire day,DATE,1
Baking Biscuits and Bread,ORG,1
couple weeks or,DATE,1
Community Living Foods,ORG,1
La Tourangelle Avocado Oil,ORG,1
six-years,DATE,1
39.00,MONEY,1
Misto,ORG,1
higher!Guess,PERSON,1
Pussy Cat Mix,PERSON,1
Greenville,GPE,1
MS,GPE,1
The BIG PLUS,ORG,1
THE HEALTH BENEFITS,ORG,1
La Tourangell Avocado,FAC,1
a fifth,CARDINAL,1
Bartenders,ORG,1
this over a month ago,DATE,1
Over $40,MONEY,1
my senior year,DATE,1
Nowhere,PERSON,1
Party Armor,WORK_OF_ART,1
Jameson,ORG,1
about 7 hours,TIME,1
New Year's day,EVENT,1
at least the last 3 new year's days,DATE,1
Whisky Sour Mix,PERSON,1
Ottawa,GPE,1
22.50,MONEY,1
The Mainstay of My Day,WORK_OF_ART,1
Albuterol,ORG,1
6-$8,MONEY,1
"the ""green pearl"" of tea",PRODUCT,1
Herbes de Provence,FAC,1
the second half of the 19th century,DATE,1
Pingshui,PERSON,1
the Yangtse River Delta,LOC,1
only 2 ounces,QUANTITY,1
Zhejiang,GPE,1
Bronchitis,PERSON,1
bad days,DATE,1
Green Pearl,WORK_OF_ART,1
21 ounces,QUANTITY,1
Popcorn Tastes Stale,ORG,1
Dry,ORG,1
Eastern Chinese,LOC,1
4-cup,CARDINAL,1
Yikes,PERSON,1
1-cup,PERSON,1
4-$6,MONEY,1
Green Tea,GPE,1
at least $1.00,MONEY,1
this 3 1/2 months ago,DATE,1
more than a decade,DATE,1
Scots,ORG,1
Freecycle,NORP,1
Gunpowder Green Tea,PERSON,1
3.53-Ounce,CARDINAL,1
Zhejiang Province,GPE,1
the Tang Dynasty,DATE,1
only 1 cup,QUANTITY,1
Only half,CARDINAL,1
The Lady Grey,PERSON,1
friends & family,ORG,1
Asthma & Is Deliciously,ORG,1
Sodium,PERSON,1
6 Ounce Great Northern Popcorn Portion,QUANTITY,1
Healthy and,PERSON,1
Tasty Chip,PERSON,1
only 5%,PERCENT,1
Cajun,ORG,1
asthma!I,ORG,1
kale,ORG,1
the past 6 year,DATE,1
Mmm,ORG,1
Wu Yi Oolong,PERSON,1
months & am,DATE,1
west indian,NORP,1
Gallic,NORP,1
this each month,DATE,1
Pepto Bismol,PERSON,1
Zevia,LOC,1
Red Popcorn Maker Machine,ORG,1
stevia,PERSON,1
Favorite Mint/Black Tea Combination,ORG,1
Zevia Ginger Ale,ORG,1
Aspartame,GPE,1
Breathe Deep,ORG,1
Central California,LOC,1
moroccan,NORP,1
12:30 pm,TIME,1
La Tourangelle Avocado,PERSON,1
Two months,DATE,1
4am,QUANTITY,1
my mid 20s,DATE,1
April 2010,DATE,1
Monster Absolute Zero,PERSON,1
Ginger Altoids,ORG,1
Monster Absolute,PERSON,1
my 3 and 1 year old,DATE,1
Monster Low Carb,PERSON,1
Sparkling Orange,WORK_OF_ART,1
9pm-11pm,GPE,1
baby/,GPE,1
Little Duck Organics,LOC,1
8am-4pm,GPE,1
Reno,GPE,1
SOOOOOO,ORG,1
4:30 am,TIME,1
Great Snack for Baby,ORG,1
this about 2 weeks ago,DATE,1
Celestial Seasonings',ORG,1
CRAZY,ORG,1
Little Ducks,ORG,1
a couple of miles,QUANTITY,1
about 8 months old,DATE,1
up to 4 miles,QUANTITY,1
Celsius Calorie Burner Orange,PERSON,1
Celsius sparkling orange,PERSON,1
the Vitamin Shop,ORG,1
Celcius,ORG,1
one 12 ounce,QUANTITY,1
an extra 1 minute,TIME,1
Ate,ORG,1
96 year old,DATE,1
Alessi,GPE,1
rojos,PERSON,1
butter flavor half,CARDINAL,1
Roast Beef,LOC,1
18grams,CARDINAL,1
up to 30 minutes,TIME,1
Ellie,PERSON,1
an extra 20 minutes,TIME,1
Nummy,PERSON,1
the DARK Hot Chocolate,ORG,1
you!of,DATE,1
Orange Flavor,ORG,1
this Holiday Season,DATE,1
Gloria,GPE,1
more than a few days,DATE,1
the Country Time,FAC,1
early afternoon,TIME,1
Thay,ORG,1
Niederegger,PERSON,1
Lubeck Niederegger,PERSON,1
200mg,QUANTITY,1
The Christmas Blend,ORG,1
Celsius 15,FAC,1
MILD,ORG,1
Celsius Energy,ORG,1
Chalean Extreme,ORG,1
mum mum's,PERSON,1
24.15,MONEY,1
Oskri,ORG,1
Avocado Oil,ORG,1
Our Mini Coconut Milk Chocolate,WORK_OF_ART,1
a kid decades ago,DATE,1
500F,CARDINAL,1
my kid days,DATE,1
Every few years,DATE,1
10-STAR,CARDINAL,1
Mounds Bars,ORG,1
325 degrees,QUANTITY,1
510 degrees F,QUANTITY,1
the first week snce,DATE,1
11.65,MONEY,1
31.5,CARDINAL,1
G.I Bone 3,ORG,1
Tucson AZ,ORG,1
REFINED avocado,PRODUCT,1
520F,CARDINAL,1
350F,FAC,1
500F.,CARDINAL,1
the Plantation Mint,ORG,1
130.49,CARDINAL,1
O.R. kernels,PERSON,1
Orville Redenbacher,ORG,1
La Tourangelle Avocado Oil,FAC,1
Bartenders Whiskey Sour Mix,PERSON,1
Alter Eco,PRODUCT,1
Roughly 520F,CARDINAL,1
ages 6 months,DATE,1
Celsius,PERSON,1
TurboFire,PRODUCT,1
62,CARDINAL,1
one this day,DATE,1
LouAna Coconut,PRODUCT,1
the Bernese Mountain Dog,LOC,1
Ballys,GPE,1
Breeders Choice,ORG,1
like 99%,PERCENT,1
Avoderm Adult,PERSON,1
6,PRODUCT,1
about 2.19,CARDINAL,1
Kapha,GPE,1
up to 100,CARDINAL,1
Avocados,PERSON,1
celsius orange,PERSON,1
awful!So,CARDINAL,1
kapha,GPE,1
Connamon,PERSON,1
about an hour later,TIME,1
Solid Gold,ORG,1
COCAINE,PRODUCT,1
Sun Dancer,LOC,1
Cola,ORG,1
non-Bengali,NORP,1
Darell White,PERSON,1
La Tourangelle,FAC,1
Vegetable Extract (Shiitake Mushroom,ORG,1
twenty years,DATE,1
Fresh Market,WORK_OF_ART,1
the Museum of Natural History of all,ORG,1
Mocha,GPE,1
Brand Almond Milk,PERSON,1
CLICK Espresso Protein Drink,ORG,1
Canister,PERSON,1
13.90,MONEY,1
2.5 pounds,QUANTITY,1
Bulk,GPE,1
around 8:45 p.m.,TIME,1
Silk,PERSON,1
last 5-10 years,DATE,1
Honeyville,GPE,1
Calorie Protein Ratio,PERSON,1
Plantation House,ORG,1
LINDA'S DIET,ORG,1
WeightWatcher,ORG,1
Gluten Intolerance,ORG,1
Vanilla Carmel,PERSON,1
a couple summers ago,DATE,1
nearly 3,CARDINAL,1
LOVE PB,ORG,1
Dairy/,ORG,1
egg whites & sugar,ORG,1
about 190,CARDINAL,1
Santa Fe,ORG,1
AWESOME FLAVOR - LOW FAT,PERSON,1
sans,NORP,1
Teddy,PERSON,1
Gluten Free & Dairy Free Excellence,ORG,1
Click,PRODUCT,1
Good Morning,WORK_OF_ART,1
Yummy Mocafe,PERSON,1
two months ago,DATE,1
7/18/10,CARDINAL,1
Azteca,ORG,1
21g,QUANTITY,1
more than 45,CARDINAL,1
2 tablespoonsful,QUANTITY,1
CHAI,ORG,1
only about 1.5,CARDINAL,1
113,MONEY,1
half a pound,QUANTITY,1
Better'n Peanut Butter,ORG,1
USED,ORG,1
Chincoteague,GPE,1
about 3-4 days,DATE,1
Great flavor &,ORG,1
yummy Mocha,PERSON,1
less than ten percent,PERCENT,1
bigelow vanilla,ORG,1
Ridgeway,GPE,1
40 minutes,TIME,1
Tblsp,PRODUCT,1
The MOCAFE Azteca D'oro,ORG,1
peanut powder,PERSON,1
Nine,CARDINAL,1
WINTER,DATE,1
seven years later,DATE,1
Phil,PERSON,1
1.25 oz,QUANTITY,1
Sugarcane,PERSON,1
the last four years,DATE,1
Apricot,LOC,1
Grape Juice-,PERSON,1
White grape juice & apple juice,ORG,1
Kedem,ORG,1
###,MONEY,1
about 3-years ago,DATE,1
just over an inch,QUANTITY,1
less than an eighth,CARDINAL,1
GREAT JAM,ORG,1
Great Christmas,ORG,1
Vegan/,ORG,1
Hill's,ORG,1
9 year-old,DATE,1
no more than 6%,PERCENT,1
30-day,DATE,1
around 8%,PERCENT,1
Mochi,ORG,1
La Preferida,ORG,1
Jalapenos,PERSON,1
Assam Estate,ORG,1
Assam teas,PERSON,1
FWIW,ORG,1
five gallon,QUANTITY,1
about 1/5th,CARDINAL,1
